user_id,uid,subnet_id,tweet_count
1873776845201825794,222,59,5
1874523064878174208,165,59,5
1874530635135537152,167,59,5
1776978685511540736,119,59,5
1874658008313036800,148,59,5
1617401141658279941,162,59,5
262420411,226,59,5
568678109,93,59,5
310491330,108,59,5
1873357651809370112,113,59,5
2194552824,40,59,5
63212253,107,59,4
1872299550549172224,21,59,4
1715183648914456576,8,59,4
1662656509753561089,213,59,4
793832994729521152,218,59,4
1632045486826815493,197,59,4
1871941172433915905,14,59,4
1871671205788557312,243,59,4
1703977659733336064,192,59,4
1662651018763714561,206,59,4
299162913,129,59,4
1629753972180373505,191,59,4
1873630473009995776,93,59,4
1870019044105150464,141,59,4
1873136862723772416,67,59,4
1873363120187752449,122,59,4
1267270952,29,59,4
1704066644669272064,220,59,4
1715180425008840704,194,59,3
1715181918520823808,246,59,3
1617432905600634880,154,59,3
1873419113588015104,120,59,3
1875048134486978560,177,59,3
1084796070,131,59,3
1875063844709490688,232,59,3
1715397023187582976,251,59,3
1715211635294613504,14,59,3
1715535852330479616,17,59,3
1717193743223369728,29,59,3
1717197671340134400,30,59,3
1716291384867688448,20,59,3
1722924433709633536,9,59,3
1717204253595615232,32,59,3
1717200678211461120,171,59,3
1704313600326688768,245,59,3
1044158862,224,59,3
262617673,225,59,3
1873776269713956864,219,59,3
1673115666,228,59,3
1870516934455775233,149,59,3
1704188108994912256,181,59,3
354471377,95,59,3
299468364,127,59,3
436820032,92,59,3
326642217,221,59,2
595791604,219,59,2
1873360412252467200,116,59,2
858326623,41,59,2
1871883451269599232,8,59,2
1779688863281389569,168,59,2
2271401868,253,59,2
1875060034318794752,252,59,2
285227101,124,59,2
328452397,18,59,2
1873128180648685568,69,59,2
3247394876,240,59,2
155003871,220,59,2
1682344956067758080,37,59,2
1061325248,44,59,1
1526011983455105026,12,59,1
524578525,254,59,1
2170453702,126,59,1
196328278,43,59,1
1446355232439496714,176,59,1
3313768127,25,59,1
1527568310724104192,56,59,1
1873122403569508352,68,59,1
628114213,34,59,1
1873135054378913792,50,59,1
220645425,252,59,1
1574768678507511808,175,59,1
