user_id,uid,subnet_id,tweet_count
1859934851828195328,138,59,1577
1770087158440976384,170,59,1242
20510925,24,59,596
1775509072747560960,216,59,419
1870741658276376576,166,59,213
1871891871418490880,231,59,180
1868934473040990208,211,59,126
2220312806,27,59,125
1152727572,158,59,117
1675866018235965441,117,59,116
784695655948226560,234,59,114
1870824953794248704,187,59,109
1871956303834185728,19,59,105
1846172608133582851,232,59,96
2328398373,178,59,90
1447243782,195,59,87
1303475034627825664,23,59,86
1187322717500039168,208,59,81
1873133025086541824,212,59,77
2224460394,83,59,76
1908698600,199,59,70
2634392388,196,59,69
952356360,192,59,67
962184092698624001,207,59,65
1871759811450380288,249,59,62
1870298772804132865,159,59,58
1871748881526210560,248,59,57
722474673267679233,217,59,57
1861302703,162,59,56
1870104082062737408,142,59,56
1533074641,169,59,52
1428725362578493443,136,59,52
486640334,173,59,52
118833402,194,59,51
3148441940,172,59,49
1869351239374544896,118,59,48
1009612612600905735,247,59,47
1312967426259083265,100,59,46
1870756892810895360,179,59,45
3294176525,193,59,44
1842424472051339264,186,59,43
1870114093140725760,144,59,43
1870512935233015808,175,59,40
1871076508074438657,201,59,40
1870843755764547584,182,59,40
1637166074415161345,209,59,40
1873002781336059905,44,59,40
1868823601081991169,99,59,38
1870700404742537216,176,59,38
802080431126564864,134,59,38
261958838,133,59,38
1869662511710277632,135,59,37
56842370,25,59,37
1753804059344244736,227,59,37
1832028875452542976,221,59,37
1871049292036882432,160,59,36
1439868618204930049,190,59,36
249284811,63,59,35
1362854823742308353,104,59,34
1870761724254576640,171,59,33
1869493907014430720,169,59,32
466128635,139,59,31
1869514607955791872,121,59,31
1774961874985275392,102,59,30
1873022327451205633,64,59,30
1870847699760902144,183,59,29
1873002213263745024,43,59,29
1871071948350115841,202,59,28
318894767,181,59,27
1702752408722370560,57,59,27
2192793335,117,59,27
1871948210400530432,13,59,27
1698771196131811328,152,59,27
1583121342571974656,242,59,26
1872660653854674944,28,59,26
1871569423846531072,233,59,26
1873023036338900992,65,59,26
1794258621947412480,102,59,25
1842700440984809472,185,59,25
1873003743182225408,45,59,24
367132679,180,59,24
1449974498715971585,189,59,24
1585713629877485571,215,59,23
1872186609367699456,16,59,23
60961921,80,59,23
1624453578,81,59,22
71432145,137,59,22
434439186,81,59,21
73004799,167,59,21
1872207575162515456,18,59,21
3161405171,222,59,21
1870471059687821312,151,59,21
1872693895995461632,15,59,21
1585720740963389440,238,59,21
1871074933998227456,203,59,21
1586115514971168771,237,59,21
893832228,90,59,20
1471803583406514182,214,59,20
1872226833279930368,161,59,20
1527734372966838273,143,59,20
283331104,50,59,20
1730677538,114,59,20
1873020879938195456,47,59,20
2965564154,156,59,20
1872629811988115456,34,59,19
4767260358,96,59,19
1011889813,97,59,19
1795074451882790912,236,59,19
1583454213962620930,188,59,19
2745661074,168,59,19
1225325004,85,59,19
