uid,user_id,subnet_id,created_at,average_score,tweet_count,individual_scores
100,1794258621947412480,59,2024-12-18 15:41:12,0.2567227262829372,3,"[0.32718655233761257, 0.318482872360095, 0.1244987541511039]"
100,1794258621947412480,59,2024-12-19 19:28:22,0.32693408503035015,1,[0.32693408503035015]
100,1794258621947412480,59,2024-12-20 05:36:32,0.33468773655198825,1,[0.33468773655198825]
100,1794258621947412480,59,2024-12-22 04:49:43,0.1249950330853168,1,[0.1249950330853168]
100,1794258621947412480,59,2024-12-23 23:59:47,0.2605297593139435,5,"[0.27549999999999997, 0.2625436430113081, 0.27999999999999997, 0.299980262729618, 0.18462489082879152]"
100,1794258621947412480,59,2024-12-24 08:21:11,0.2835392349486864,2,"[0.27309820716775474, 0.29398026272961797]"
100,1794258621947412480,59,2024-12-24 08:22:10,0.319181597912744,3,"[0.28931095983728333, 0.3418661616505938, 0.32636767225035473]"
100,1794258621947412480,59,2024-12-24 20:51:26,0.29309995003330835,1,[0.29309995003330835]
100,1794258621947412480,59,2024-12-27 03:36:51,0.2838127160571097,1,[0.2838127160571097]
102,1774961874985275392,59,2024-12-18 16:30:10,0.12409995003330834,1,[0.12409995003330834]
102,1774961874985275392,59,2024-12-18 21:57:04,0.20942268883800075,2,"[0.22614557740973418, 0.1926998002662673]"
102,1774961874985275392,59,2024-12-19 03:24:13,0.30176150121308687,4,"[0.299009900990099, 0.293723381995673, 0.283281075737748, 0.3310316461288274]"
102,1774961874985275392,59,2024-12-19 21:03:05,0.2796812749003984,1,[0.2796812749003984]
102,1774961874985275392,59,2024-12-20 05:38:04,0.2480394414735793,2,"[0.19748026272961794, 0.29859862021754063]"
102,1774961874985275392,59,2024-12-21 17:09:14,0.2947867298578199,1,[0.2947867298578199]
102,1774961874985275392,59,2024-12-22 01:01:12,0.28938566431902263,1,[0.28938566431902263]
102,1774961874985275392,59,2024-12-22 07:52:40,0.1720423960764738,1,[0.1720423960764738]
102,1774961874985275392,59,2024-12-23 02:35:11,0.25622140011720784,3,"[0.27929955089797986, 0.24647529581493477, 0.24288935363870884]"
102,1774961874985275392,59,2024-12-23 02:35:52,0.24945199323835357,3,"[0.2389367844687484, 0.27771918011122854, 0.23170001513508381]"
102,1774961874985275392,59,2024-12-24 08:23:00,0.25483644872122957,2,"[0.2766976016275243, 0.23297529581493476]"
102,1774961874985275392,59,2024-12-24 08:24:05,0.20737916674594883,3,"[0.21964424471071173, 0.17472681570495013, 0.2277664398221847]"
103,1868934473040990208,59,2024-12-18 15:45:43,0.1845850471867425,10,"[0.19069980026626732, 0.18819285708652736, 0.19479162252665463, 0.1641975613736425, 0.1694950330853168, 0.1731975613736425, 0.18079162252665462, 0.1922916225266546, 0.1998959741371472, 0.19229681696491768]"
103,1868934473040990208,59,2024-12-18 16:53:28,0.191,1,[0.191]
103,1868934473040990208,59,2024-12-18 20:40:25,0.16999999999999998,1,[0.16999999999999998]
103,1868934473040990208,59,2024-12-18 22:53:42,0.1869565217391304,1,[0.1869565217391304]
